port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,move_typ,terminal_id,berth_id
RUNVS,DEPARTURE,255806172,9319870,2022-02-26T11:16:00Z,departure,NA,NA
RUPRI,DEPARTURE,538002773,9323376,2022-02-26T10:28:00Z,departure,NA,NA
RUULU,DEPARTURE,636017655,9397547,2022-02-26T09:26:00Z,departure,NA,NA
RUULU,DEPARTURE,211881000,9352303,2022-02-26T08:39:00Z,departure,NA,NA
RUDKA,DEPARTURE,212500000,9301380,2022-02-26T06:54:00Z,departure,NA,NA
RUKOZ,DEPARTURE,636015176,9592240,2022-02-26T06:07:00Z,departure,NA,NA
RUNVS,DEPARTURE,215871000,9261401,2022-02-26T05:50:00Z,departure,NA,NA
RUULU,DEPARTURE,311816000,9291262,2022-02-26T00:59:00Z,departure,NA,NA
RUNVS,DEPARTURE,636014309,9421972,2022-02-26T00:22:00Z,departure,NA,NA
RUBLT,DEPARTURE,352898673,9565742,2022-02-25T23:55:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008046,9412452,2022-02-25T23:13:00Z,departure,NA,NA
RUSTY,DEPARTURE,352898673,9565742,2022-02-25T22:12:00Z,departure,NA,NA
RUTAM,DEPARTURE,241614000,9787194,2022-02-25T22:07:00Z,departure,NA,NA
RUPRI,DEPARTURE,538008325,9353113,2022-02-25T21:55:00Z,departure,NA,NA
RUNVS,DEPARTURE,248768000,9808314,2022-02-25T21:23:00Z,departure,NA,NA
RUPRI,DEPARTURE,538009821,9779953,2022-02-25T21:18:00Z,departure,NA,NA
RUVVO,DEPARTURE,538007496,9226009,2022-02-25T20:10:00Z,departure,NA,NA
RUTAM,DEPARTURE,248796000,9457878,2022-02-25T20:02:00Z,departure,NA,NA
RUBLT,DEPARTURE,266273000,9308558,2022-02-25T19:55:00Z,departure,NA,NA
RUTUA,DEPARTURE,538007627,9290505,2022-02-25T19:44:00Z,departure,NA,NA
RUVVO,DEPARTURE,538007496,9226009,2022-02-25T19:09:00Z,departure,NA,NA
RUNVS,DEPARTURE,538009792,9334789,2022-02-25T18:45:00Z,departure,NA,NA
RUSTY,DEPARTURE,266273000,9308558,2022-02-25T18:42:00Z,departure,NA,NA
NA,DEPARTURE,273216880,9575929,2022-02-25T18:00:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008331,9411226,2022-02-25T17:27:00Z,departure,NA,NA
RUULU,DEPARTURE,636018682,9826720,2022-02-25T10:59:00Z,departure,NA,NA
RUKOZ,DEPARTURE,538008233,9297357,2022-02-25T10:49:00Z,departure,NA,NA
RUNVS,DEPARTURE,636020612,9313486,2022-02-25T10:48:00Z,departure,NA,NA
RUDUD,DEPARTURE,273357330,9585273,2022-02-25T09:51:00Z,departure,NA,NA
