port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,load_status,port_operation,draught,terminal_id,berth_id
RUPRI,departure,636014191,9413559,2022-02-28T16:48:00Z,fully_laden,load,14.5,NA,NA
RUTAM,departure,538005399,9686869,2022-02-28T16:42:00Z,fully_laden,load,10.5,NA,NA
RUNVS,departure,636018753,9411989,2022-02-28T14:32:00Z,fully_laden,load,11.1,NA,NA
RUTAM,departure,538006916,9266877,2022-02-28T13:29:00Z,partially_laden,load,10.9,NA,NA
RUKOZ,departure,311000695,9801524,2022-02-28T12:31:00Z,fully_laden,load,13.8,NA,NA
RUNJK,departure,273419360,9053206,2022-02-28T11:02:00Z,fully_laden,load,8.7,NA,NA
RULED,departure,257037140,9808259,2022-02-28T08:54:00Z,fully_laden,load,9.6,NA,NA
RUULU,departure,311931000,9291640,2022-02-28T08:13:00Z,fully_laden,load,11.1,NA,NA
RUULU,departure,636019072,9829100,2022-02-28T05:43:00Z,fully_laden,load,14.5,NA,NA
RUNVS,departure,636014505,9314882,2022-02-28T04:55:00Z,fully_laden,load,10.9,NA,NA
NA,departure,273212310,9837547,2022-02-28T04:10:00Z,fully_laden,none,8.8,NA,NA
RUPRI,departure,566577000,9725627,2022-02-28T02:43:00Z,fully_laden,load,11.2,NA,NA
RUVYS,departure,538003816,9290828,2022-02-27T23:45:00Z,partially_laden,load,10.2,NA,NA
RUNVS,departure,538008333,9587312,2022-02-27T22:03:00Z,fully_laden,load,15.4,NA,NA
NA,departure,436000032,9323106,2022-02-27T18:02:00Z,fully_laden,load,6.5,NA,NA
RUNVS,departure,311000953,9897834,2022-02-27T17:14:00Z,fully_laden,load,13.4,NA,NA
RUVVO,departure,273453790,9166314,2022-02-27T17:06:00Z,fully_laden,load,8,NA,NA
RUPRI,departure,257031550,9817470,2022-02-27T16:57:00Z,fully_laden,load,14.4,NA,NA
RUULU,departure,636018671,9815616,2022-02-27T15:59:00Z,fully_laden,load,14.5,NA,NA
RUKOZ,departure,636017656,9354301,2022-02-27T14:31:00Z,fully_laden,load,14.6,NA,NA
RUKOZ,departure,636017656,9354301,2022-02-27T14:31:00Z,fully_laden,load,14.5,NA,NA
RUNVS,departure,636011641,9256066,2022-02-27T13:47:00Z,fully_laden,load,11.4,NA,NA
RUNVS,departure,636011641,9256066,2022-02-27T13:38:00Z,partially_laden,none,8.8,NA,NA
RUULU,departure,636093059,9315769,2022-02-27T13:29:00Z,fully_laden,load,10.4,NA,NA
RUPRI,departure,538008323,9353096,2022-02-27T13:26:00Z,fully_laden,load,11.2,NA,NA
RUULU,departure,636093059,9315769,2022-02-27T13:07:00Z,partially_laden,none,8.3,NA,NA
RUBLT,departure,405000238,9793868,2022-02-27T08:00:00Z,partially_laden,none,8.7,NA,NA
RUPKC,departure,273210470,9163764,2022-02-27T07:21:00Z,fully_laden,none,9.3,NA,NA
RUULU,departure,212240000,9314818,2022-02-27T00:32:00Z,fully_laden,load,10.1,NA,NA
RUTAM,departure,319147800,9787936,2022-02-26T23:00:00Z,fully_laden,load,13.6,NA,NA
RUNVS,departure,636014489,9436719,2022-02-26T22:53:00Z,fully_laden,load,9.5,NA,NA
RUPRI,departure,636093029,9326897,2022-02-26T22:35:00Z,fully_laden,load,13.5,NA,NA
RUPRI,departure,636018830,9826897,2022-02-26T20:44:00Z,fully_laden,load,14.4,NA,NA
RUNVS,departure,248159000,9391957,2022-02-26T19:27:00Z,partially_laden,load,9.6,NA,NA
RUNVS,departure,311000820,9823041,2022-02-26T18:16:00Z,fully_laden,load,12.1,NA,NA
RUVYP,departure,419001624,9573684,2022-02-26T17:32:00Z,partially_laden,load,9.5,NA,NA
RUSAB,departure,209508000,9804033,2022-02-26T13:26:00Z,fully_laden,load,12,NA,NA
RUNVS,departure,255806172,9319870,2022-02-26T11:16:00Z,fully_laden,load,11.2,NA,NA
RUPRI,departure,538002773,9323376,2022-02-26T10:28:00Z,partially_laden,load,10,NA,NA
RUULU,departure,636017655,9397547,2022-02-26T09:26:00Z,fully_laden,load,11.7,NA,NA
RUULU,departure,211881000,9352303,2022-02-26T08:39:00Z,fully_laden,load,9.8,NA,NA
RUDKA,departure,212500000,9301380,2022-02-26T06:54:00Z,fully_laden,load,14.3,NA,NA
